session_test_id,code_anonyme,age,genre,musicien,musicien_longueur,musicien_debut,musicien_diplome,deficience,info_methode,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,S_P1,AC3S_1C_DN,84,199757,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,S_P2,reference,100,90886,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,S_P2,AC3S_1C_DN,83,90886,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,S_P2,AR1S_1C_DN,61,90886,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,S_P2,AA7S_1C_DN,0,90886,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,S_P3,AA7S_1C_DN,0,51438,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,S_P3,reference,99,51438,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,S_P3,AR1S_1C_DN,81,51438,
test_clarinette_casque,Marius,22,homme,oui,15,7,non,non,"Les différences",a5e986ff-5f7d-4348-aae4-11d6a4ef329e,S_P3,AI2S_3C_DN,89,51438,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,Entrainement,reference,76,162216,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,Entrainement,AEN_2,36,162216,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,Entrainement,AEN_4,22,162216,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,Entrainement,AEN_3,35,162216,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,Entrainement,AEN_5,0,162216,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,P_P2,reference,99,84564,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,P_P2,AC3P_1C_DN,85,84564,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,P_P2,AA7P_1C_DN,11,84564,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,P_P2,AR1P_1C_DN,55,84564,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,P_P3,AR1P_1C_DN,89,84635,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,P_P3,reference,86,84635,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,P_P3,AI2P_3C_DN,86,84635,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,P_P3,AA7P_1C_DN,1,84635,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,P_P1,AC3P_1C_DN,44,59246,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,P_P1,AI2P_3C_DN,43,59246,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,P_P1,AA7P_1C_DN,0,59246,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,P_P1,reference,88,59246,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,G_P1,AC3G_4C_DN,88,72871,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,G_P1,AC3G_2C_DN,86,72871,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,G_P1,AC3G_5C_DN,87,72871,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,G_P1,AA7G_1C_DN,0,72871,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,G_P1,reference,87,72871,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,G_P1,AC3G_3C_DN,88,72871,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,S_P1,AI2S_3C_DN,85,67847,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,S_P1,reference,85,67847,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,S_P1,AC3S_1C_DN,85,67847,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,S_P1,AA7S_1C_DN,0,67847,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,S_P2,AC3S_1C_DN,100,86142,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,S_P2,AR1S_1C_DN,72,86142,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,S_P2,reference,72,86142,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,S_P2,AA7S_1C_DN,0,86142,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,S_P3,AR1S_1C_DN,71,98291,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,S_P3,AI2S_3C_DN,67,98291,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,S_P3,AA7S_1C_DN,1,98291,
test_clarinette_casque,P18,23,femme,oui,"10 ans","13 ans",non,non,"Sur la différence de qualité sonore. Certains sons me semblaient moins agréables à écouter en comparaison au son de référence.",b7e4fbc6-5ed4-469a-86ba-34628c81f83e,S_P3,reference,100,98291,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,Entrainement,AEN_3,72,20989,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,Entrainement,AEN_5,10,20989,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,Entrainement,reference,77,20989,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,Entrainement,AEN_2,21,20989,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,Entrainement,AEN_4,83,20989,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,P_P2,AA7P_1C_DN,100,6272,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,P_P2,AC3P_1C_DN,35,6272,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,P_P2,AR1P_1C_DN,93,6272,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,P_P2,reference,25,6272,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,P_P3,AR1P_1C_DN,97,8177,
